CODIGO,DESCRIPCION
849,NIQUEL
850,NOBLE WHITE
466,NUEZ METALICO
96,OCRE
851,OCRE DAMASCO
852,OCRE MOSTAZA
853,OCRE OSCURO
854,OCRE Y NEGRO
855,OLIVA
270,OLIVA MARFIL
856,OLIVA SELVA
857,OLIVA Y BEIGE
858,OLIVA Y MARFIL
859,OPAL METALLIC
860,ORANGE GOLD METALIZADO
44,ORO
271,ORO SIERRA
272,ORO SINU
273,PALE OAK
274,PALO DE ROSA
861,PARDO DORADO
275,PARDO LAGUNA
862,PASTEL BLANCO
863,PASTEL BLANCO BANQUISE
864,PASTEL NEGRO ONIX
276,PENNINE
48,PERLA
87,PLATA
865,PLATA  CRYOLITE
866,PLATA  STARLIGHT
867,PLATA / PLATA QUEENS
88,PLATA AHUMADO
869,PLATA AHUMADO METALIZADO
870,PLATA ALUMINICA
871,PLATA ARABE
872,PLATA ARENA
873,PLATA ARIAL
422,PLATA ARIANNE
874,PLATA ASTRO
875,PLATA ASTRO METALIZADA
876,PLATA AUTENTICO
877,PLATA AZULADO
277,PLATA AZULOSO
878,PLATA AZULOSO METALICO
879,PLATA BLANCO
278,PLATA BREZO
464,PLATA BRILLANTE
880,PLATA CASHEMERE
881,PLATA CASIMIR
882,PLATA CENIZA
883,PLATA CLARO
884,PLATA COOL
885,PLATA COOL GRIS
886,PLATA CRISTAL
887,PLATA DESTELLANTE
279,PLATA DIAMANTE
888,PLATA ELEGANTE
889,PLATA ESCUNA 
890,PLATA EXTRACTO
891,PLATA FINA
892,PLATA FRESCO
893,PLATA FRESCO/GRIS OSCURO
894,PLATA GALACTICO
895,PLATA GRANITO
896,PLATA GRIS OSCURO
897,PLATA GRIS Y AZUL MARINO
898,PLATA GRISACEO
280,PLATA HAMILTON
455,PLATA IBIUNA
427,PLATA ICE
899,PLATA IMPERIAL
900,PLATA INDIGO
901,PLATA INTENSO
902,PLATA LA GUARDIA
903,PLATA LIGHT
904,PLATA LIMPIA
281,PLATA LUNAR
282,PLATA MERCURIO
905,PLATA MERCURIO METALIZ.
906,PLATA METAL
283,PLATA METALIZAD
908,PLATA METEORO
909,PLATA MICA
910,PLATA NACAR
284,PLATA NACARADO
911,PLATA NEUTRAL
89,PLATA NIQUEL
912,PLATA NIQUEL/ GRIS PLOMO METAL
913,PLATA NIQUEL/GRIS PLOMO
914,PLATA NUBE
915,PLATA NUEVO
916,PLATA OCASO
917,PLATA ORQUIDEA
918,PLATA PASTEL
285,PLATA PERLADO
919,PLATA PERLADO METAL
920,PLATA PERLECENTE
921,PLATA PLATA QUEENS
286,PLATA POLAR
922,PLATA REFLEJO
923,PLATA REFLEX
924,PLATA REGENT
925,PLATA SANDSTONE
287,PLATA SATELITE
926,PLATA SATIN
927,PLATA SATINADO
928,PLATA SEBRING
929,PLATA SHORELINE
288,PLATA SIERRA
930,PLATA SIERRA METALIZADO
441,PLATA SORRENTO
931,PLATA STARLIGHT
932,PLATA SYMPHONIC
933,PLATA TECNO
934,PLATA TITAN
289,PLATA TITANIO
935,PLATA TITANIUM
936,PLATA TOPAZ
290,PLATA TORNASOL
291,PLATA TRIGO
937,PLATA VEGA
938,PLATA VIEJA
939,PLATA VINOTINTO
292,PLATA VOGUE
940,PLATA WARM
457,PLATA Y
941,PLATA Y ROJO VINO
942,PLATA/AZUL
943,PLATA/GRIS
49,PLATEADO
434,PLATEADO GALAX.
293,PLATEADO SOLARI
944,PLATINIUM
294,PLOMO
945,PLOMO PERLADO
295,PRESTIGE SILVER
946,PURPURA
470,PURPURA METAL.
947,PURPURA METALIZADO 
296,RASBERRY
948,RIO TOMATO MICA
84,ROBLE
53,ROJO
297,ROJO ALAMBRE
298,ROJO ALPINE
299,ROJO AMAPOLA
300,ROJO AMBAR
301,ROJO ANDALUZ
302,ROJO ATARDECER
303,ROJO BORDEAUX
304,ROJO BRILLANTE
305,ROJO BURDO
436,ROJO CAMBERRA
306,ROJO CANDIL
307,ROJO CARDENAL
308,ROJO CARMIN
309,ROJO CEREZA
310,ROJO CLARO
18,ROJO CLASICO
311,ROJO CORDOBA
425,ROJO DESTELLO
312,ROJO DINAMO
313,ROJO DOUPONT
314,ROJO ELECTRICO
315,ROJO FERIA
316,ROJO FERRARI
413,ROJO FIESTA
317,ROJO FORMULA
27,ROJO FUEGO
318,ROJO FURIA
319,ROJO GALIPAN
320,ROJO GORNET MIC
321,ROJO GRANATE
450,ROJO HIP
322,ROJO IMPALA
323,ROJO IMPERIAL
324,ROJO INZA
325,ROJO LYRA
326,ROJO MAPLE
327,ROJO MARLBORO
328,ROJO MARS
329,ROJO MERCURIO
330,ROJO METALICO
331,ROJO MICA
332,ROJO MILANO
333,ROJO MONTANA
334,ROJO MONTECARLO
335,ROJO OPORTO
336,ROJO ORIENTAL
337,ROJO PALMA
338,ROJO PAMIR
339,ROJO PASION
340,ROJO PERLADO
341,ROJO PERLECENTE
342,ROJO PONZO
343,ROJO POPY
344,ROJO PURPURA
